                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.007,                  4.425,                 4.2319,                      0,                      0,                      0,                      0,                 3.8939,                 4.2706,                 4.1583,             0.00012861,             0.00012861,             0.00012861
                      2,                   3.96,                 4.2739,                 4.1622,                      0,                      0,                      0,                      0,                 3.8834,                 4.2475,                  4.145,             0.00026882,             0.00026882,             0.00026882
                      3,                 4.0034,                 4.0466,                  4.083,                      0,                      0,                      0,                      0,                 3.8586,                 4.2027,                 4.1187,              0.0004062,              0.0004062,              0.0004062
                      4,                 3.5594,                 3.5928,                 3.9594,                      0,                      0,                      0,                      0,                 3.8543,                 4.2343,                 4.1069,             0.00054076,             0.00054076,             0.00054076
                      5,                 3.2951,                 3.2556,                 3.7936,                      0,                      0,                      0,                      0,                 3.9117,                 4.2861,                 4.1355,             0.00067248,             0.00067248,             0.00067248
                      6,                 3.0508,                 3.0182,                 3.5793,                      0,                      0,                      0,                      0,                 3.9847,                 4.3117,                 4.1964,             0.00080138,             0.00080138,             0.00080138
                      7,                 2.8862,                 2.8466,                 3.4729,                      0,                      0,                      0,                      0,                 3.9139,                  4.134,                 4.1103,             0.00092744,             0.00092744,             0.00092744
                      8,                 2.7769,                 2.6883,                  3.268,                0.00021,                0.04167,                0.00014,                  1e-05,                 3.4737,                 4.0527,                 3.7939,              0.0010507,              0.0010507,              0.0010507
                      9,                 2.6141,                  2.631,                 3.0616,                0.00066,                0.08333,                0.00063,                  6e-05,                 4.1382,                 4.0659,                 3.9963,              0.0011711,              0.0011711,              0.0011711
                     10,                 2.6477,                 2.4995,                 2.9368,                 0.5177,                0.16667,                0.17288,                0.05094,                 3.3654,                 3.0072,                 3.5086,              0.0012887,              0.0012887,              0.0012887
                     11,                 2.5304,                 2.5639,                 2.9073,                0.76926,                0.16667,                0.22818,                0.04923,                 3.0803,                  4.124,                 3.3751,              0.0012875,              0.0012875,              0.0012875
                     12,                 2.4454,                 2.3509,                 2.8033,                0.20499,                 0.2317,                0.18756,                 0.0432,                 3.0963,                 4.7797,                 3.3051,              0.0012875,              0.0012875,              0.0012875
                     13,                 2.5278,                 2.2865,                 2.7594,                0.52184,                0.41667,                0.34951,                0.10143,                 2.7731,                 4.8412,                 3.1683,              0.0012734,              0.0012734,              0.0012734
                     14,                 2.4241,                 2.2281,                 2.6875,                0.55157,                    0.5,                0.36816,                0.12147,                 2.5223,                 4.4345,                 2.9372,              0.0012592,              0.0012592,              0.0012592
                     15,                 2.3925,                 1.9926,                   2.59,                0.29364,                0.47067,                0.38033,                0.13533,                 2.1944,                 3.6375,                 2.7506,              0.0012451,              0.0012451,              0.0012451
                     16,                 2.3688,                 2.0957,                 2.6843,                0.01724,                0.33333,                0.01758,                0.00409,                 3.5699,                    3.3,                 3.9155,              0.0012309,              0.0012309,              0.0012309
                     17,                 2.3365,                 1.9946,                 2.5978,                0.35659,                  0.125,                0.03029,                0.01227,                 3.5709,                 3.4785,                  3.742,              0.0012168,              0.0012168,              0.0012168
                     18,                 2.2953,                 1.9864,                 2.6183,                0.15922,                0.04167,                0.04581,                0.01418,                  3.734,                  4.135,                 3.7936,              0.0012026,              0.0012026,              0.0012026
                     19,                 2.2738,                 1.9504,                 2.5713,                0.12372,                0.08333,                0.06023,                0.02097,                 3.3551,                 3.4998,                 3.5159,              0.0011885,              0.0011885,              0.0011885
                     20,                 2.3069,                  1.892,                 2.5534,                0.57772,                 0.2789,                0.43482,                0.19563,                 2.2737,                 2.7431,                 2.8315,              0.0011744,              0.0011744,              0.0011744
